#{"t_start": 1666249097.6510453, "env_id": "smb-snake-v0"}
r,l,t
10.013341,10,97174.623207
10.015869,10,97199.849607
119.504736,119,97311.31065
3418.638887,1568,99118.610201
1507.422936,1182,100395.868115
22.907988,23,100427.324426
19.589702,19,100453.866612
9.158854,8,100469.739088
11.521687,11,100485.026115
429.755935,407,100926.695709
740.956586,509,101531.482908
101.283779,100,101628.244978
109.792612,108,101740.261295
7.262825,7,101751.61034
63.893813,62,101833.952914
7.26939,7,101847.231859
23.340468,22,101913.860798
11.935779,11,101934.733071
15.383732,15,101971.039413
85.932141,84,102055.875852
46.584477,101,102153.470502
11.64891,12,102171.487019
116.829078,115,102307.278442
9.301462,9,102322.743456
47.010098,46,102369.099053
7.589232,7,102384.757476
73.947918,72,102466.303499
12.3636,12,102497.613747
2.980937,2,102505.329426
127.980641,126,102654.547179
82.263675,79,102769.938868
16.322228,15,102824.86641
7.712035,7,102840.534964
11.83085,11,102865.227045
4.420525,7,102884.388371
9.204373,8,102900.341805
73.35125,73,102973.702997
1.723403,1,102993.900102
11.452586,11,103018.213327
13.655528,13,103041.68273
11.497299,11,103062.774476
58.444797,57,103126.05281
202.63885,200,103326.092961
14.004047,13,103343.981809
166.991401,165,103512.430735
16.945576,17,103542.681581
2.008068,1,103561.873924
27.844465,27,103591.752581
9.679631,9,103615.07263
8.340318,8,103628.735089
10.617018,10,103650.222195
8.284577,7,103662.027885
10.15054,9,103677.234453
65.116081,62,103741.646298
70.630202,68,103842.585917
7.994048,8,103855.444096
17.476073,17,103876.926767
54.99268,53,103952.508457
1.772591,1,103980.588633
8.523245,8,103992.849063
6.040872,5,104013.081083
9.575196,9,104029.022048
14.639093,14,104053.513644
18.583626,17,104075.817941
11.596854,10,104094.105129
10.157069,10,104110.41328
53.300052,53,104169.162447
134.401906,131,104381.106545
29.319314,28,104428.092854
7.178632,7,104444.826789
40.499432,39,104499.861678
7.09841,7,104512.63549
111.007529,108,104615.374873
65.935895,65,104687.564858
16.821322,16,104707.12462
1.33267,1,104715.023835
30.335088,74,104834.211664
12.364916,11,104858.320592
27.592157,25,104892.379637
18.728324,18,104920.709334
14.427543,13,104942.919431
12.359095,11,104971.218938
22.178821,20,105005.544167
13.295502,12,105036.399775
15.157645,15,105060.117931
8.35032,8,105073.259541
11.605839,11,105093.09477
11.63035,11,105112.809797
27.877983,26,105185.874745
164.401664,162,105393.859462
56.089843,54,105507.937265
416.890821,398,105964.396266
126.822872,124,106087.037774
4.416757,4,106097.372312
1.716488,1,106111.653606
6.876445,6,106126.697331
42.482417,40,106188.438129
12.266476,10,106203.478723
8.316653,7,106214.923247
62.195697,60,106276.579196
111.350336,108,106388.407584
110.43176,107,106519.919199
901.174491,590,107429.90687
378.22756,390,107947.81435
291.978176,292,108548.065213
2786.405517,1177,110668.415482
2297.966769,1065,112889.218183
1.774074,1,112924.124121
286.647447,281,113257.916583
6.71093,6,113269.78575
227.153145,223,113602.542898
171.839168,168,113809.870519
227.347437,225,114069.916221
341.320664,337,114531.417666
283.164801,281,114892.591913
339.381773,337,115328.764086
279.379334,281,115623.887246
282.98527,280,116193.583104
282.667631,280,116545.388851
336.632199,411,117392.825747
271.480463,268,117679.237597
379.309276,379,118065.426024
228.31451,225,118311.827599
217.624529,214,118576.105036
170.895089,168,118776.842042
282.510656,280,119176.063773
170.707308,168,119357.103523
2182.424701,1207,121819.190797
2805.226478,1177,123715.110633
337.11214,332,124303.226069
388.736201,398,125992.039252
324.307952,336,126400.82765
232.412531,225,126779.562386
12.15336,11,126794.721723
288.555359,279,127497.439593
243.15214,235,127803.38069
171.713019,168,127998.837233
347.125147,336,128694.954452
174.80102,168,128878.785934
231.899723,224,129160.03469
360.698807,375,129554.501421
288.846357,281,129910.012258
3170.073654,1177,132576.011328
417.356189,397,133473.60856
1254.917057,732,134744.917887
2712.966388,1177,138207.535649
173.880355,168,138426.288557
287.080049,394,139153.81762
291.308762,282,139599.712053
283.958218,370,140196.405722
260.544187,403,140834.843585
260.848218,256,141156.458511
9.58128,9,141176.930022
54.197897,53,141244.115902
13.252884,13,141273.694949
121.270079,117,141424.905658
1183.060353,579,142278.253719
1.631617,1,142284.42602
60.061835,58,142393.766991
3.823094,3,142409.077397
119.161127,116,142536.709791
3.608456,3,142549.747095
14.330647,14,142574.633613
27.274891,26,142605.638812
120.271657,118,142735.222856
130.955139,126,142859.154261
69.455047,67,142941.682177
233.523578,381,143668.534639
65.407857,63,143737.761883
119.013036,116,143877.528765
77.201013,74,143956.411211
105.629252,102,144060.096226
49.176047,47,144139.342027
276.599896,392,144888.048573
29.623087,28,144935.965472
8.769763,8,144952.614355
20.069358,19,144981.40812
17.062281,16,145006.36189
270.655717,265,145312.410654
12.647555,12,145338.433916
120.335579,117,145455.109431
57.859367,56,145517.882449
12.539728,11,145533.72858
60.438874,59,145597.424264
25.535886,25,145627.843885
3.949772,4,145646.340405
8.549296,8,145662.884422
7.397986,6,145677.456793
152.111984,147,145849.462076
10.751242,10,145869.634801
17.329278,16,145903.983634
15.412629,15,145928.214197
20.761335,20,145961.082984
125.265041,122,146111.967014
306.198362,297,146466.890389
52.965949,51,146527.808861
14.879932,15,146550.056527
3.381219,2,146560.865987
17.538336,16,146605.410949
8.284904,7,146618.106963
21.554494,21,146643.278539
83.223634,81,146733.127131
8.38896,7,146747.262856
141.76099,138,146903.410614
26.040434,24,146941.109875
21.004648,19,146963.653721
128.872542,124,147088.897203
23.206818,22,147119.076289
46.878759,46,147183.735225
288.555492,281,147595.596052
228.403935,222,147833.560002
268.895106,262,148179.972439
58.106864,57,148305.653142
12.385901,12,148325.311007
11.003039,9,148341.286763
14.599468,14,148364.226429
9.627647,9,148385.957042
13.960705,12,148404.703511
11.389354,11,148421.503628
11.773952,11,148439.12316
9.84768,9,148460.280636
14.116642,12,148488.1492
19.497272,18,148512.850754
3.62543,3,148523.380863
8.650973,13,148549.058301
17.182191,16,148571.817646
19.180208,17,148607.975105
23.094371,21,148642.243113
8.179162,8,148657.008444
5.493411,5,148672.738086
290.050619,283,149076.85163
1.322194,1,149091.335151
35.718901,33,149138.586247
11.962921,11,149156.005555
12.126333,12,149186.888738
81.395282,79,149308.449836
25.058104,24,149335.356135
217.972206,213,149596.832511
347.811917,341,150110.290893
22.316855,21,150140.566531
108.381302,106,150252.250252
233.018846,394,150862.50419
232.280549,227,151217.777031
328.184616,332,151641.673169
53.555058,53,151736.028067
341.315625,338,152154.893488
352.329826,392,152752.246723
209.819895,200,153051.240401
306.210275,302,153435.411102
357.559105,392,154009.484261
172.094683,169,154219.982913
347.317188,351,154685.597284
286.51735,280,155118.375031
