#{"t_start": 1666814757.230863, "env_id": "smb-up-right-v0"}
r,l,t
15.629652,5,2071.125042
35.932279,7,2072.437285
24.756092,6,2073.694778
21.98313,6,2074.907304
37.428721,7,2076.271657
230.928552,28,2079.718104
19.631365,7,2081.028766
15.590042,5,2082.581804
266.345506,28,2085.26252
236.43975,28,2089.228118
239.654117,28,2093.057184
15.640742,7,2094.575378
28.666336,4,2095.888635
44.639081,6,2097.874483
56.401287,6,2099.342223
16.567194,6,2100.718927
31.04888,5,2102.133266
9.984389,4,2103.702279
233.916456,28,2106.399637
273.138999,28,2110.277952
224.696606,28,2114.559274
9.783142,4,2115.975539
28.517045,6,2117.538075
30.133472,6,2118.848278
15.663932,6,2120.296448
6.055721,4,2121.434426
22.822064,7,2122.973185
55.24705,6,2124.202463
23.319416,6,2125.56138
33.328495,7,2127.734757
33.949795,6,2129.467326
260.403045,28,2132.347628
176.367748,28,2135.48543
4.276283,2,2136.656506
23.89703,6,2137.87854
38.694631,7,2139.312327
20.300968,7,2140.986639
27.082886,7,2142.68188
239.981645,28,2146.096265
-2.767011,2,2147.341408
266.979186,28,2150.110946
49.508466,6,2151.358266
19.392841,6,2152.76751
4.746298,2,2153.873792
37.719562,5,2155.909809
17.823005,4,2157.232047
11.11945,6,2158.677574
33.343178,4,2159.802233
34.280877,4,2160.946254
309.287116,28,2164.025485
208.614544,28,2167.027121
266.601202,28,2170.175599
32.263115,4,2171.336345
21.333256,6,2172.615316
19.188307,6,2174.169691
270.036002,28,2177.775323
22.062475,5,2179.114337
36.823062,7,2180.752277
56.24164,7,2183.517999
28.200101,4,2184.648548
22.078174,4,2185.832593
9.931376,3,2186.936823
252.44272,28,2189.994521
17.742851,4,2191.133877
274.113479,28,2194.131615
255.882072,28,2197.225839
21.345602,4,2198.531304
26.217871,6,2200.056069
22.27479,4,2201.292811
58.004917,7,2202.617881
2.449002,1,2203.778525
20.882058,4,2205.082489
15.204201,4,2206.746485
11.841343,4,2207.931376
18.613421,5,2209.476623
308.997745,28,2213.335959
274.660963,28,2216.486816
42.018522,5,2217.695135
17.517194,5,2220.087199
18.781882,5,2221.755455
17.299406,3,2222.857232
5.15036,5,2224.109837
6.222135,1,2225.242594
210.003578,28,2228.634124
6.646131,5,2230.028622
0.160253,3,2231.438187
7.726254,6,2232.806794
260.541856,28,2235.539754
25.580105,6,2236.933957
23.3413,6,2238.695674
9.322912,3,2240.004441
50.735899,6,2241.434861
43.183949,6,2242.757462
37.957658,6,2245.746986
312.089496,28,2249.949057
75.635025,6,2251.301944
9.280021,2,2252.655339
293.537087,28,2255.377617
10.023741,5,2256.939717
24.482601,5,2258.794992
275.21794,28,2261.739746
1.459533,3,2262.844943
